# Total Phase Komodo CAN GUI v1.00
# (c) 2011 Total Phase, Inc.
# www.totalphase.com
#
m:s.ms.us,ID,RTR,DLC,Data
0:00.000.000,,,,Capture started on 08/13/24 14:49:54
0:00.000.000,,,,Bus Event: Bitrate Changed (125 kHz)
0:00.000.000,,,,"Bus Event: Control, Active"
0:14.067.239,,,,"CAN Error -- Dir: RX, Type: Stuff, Pos: CRC Sequence"
0:14.067.239,,,,"CAN Error -- Dir: RX, Type: Other, Pos: Tolerate Dominant Bits"
0:17.998.520,0x030,0,8,01 02 03 04 05 06 07 08 
0:18.999.399,0x030,0,8,01 02 03 04 05 06 07 08 
0:20.000.277,0x030,0,8,01 02 03 04 05 06 07 08 
0:21.001.164,0x030,0,8,01 02 03 04 05 06 07 08 
0:22.002.042,0x030,0,8,01 02 03 04 05 06 07 08 
0:23.002.922,0x030,0,8,01 02 03 04 05 06 07 08 
0:24.003.800,0x030,0,8,01 02 03 04 05 06 07 08 
0:25.004.680,0x030,0,8,01 02 03 04 05 06 07 08 
0:26.005.559,0x030,0,8,01 02 03 04 05 06 07 08 
0:27.006.437,0x030,0,8,01 02 03 04 05 06 07 08 
0:28.007.316,0x030,0,8,01 02 03 04 05 06 07 08 
0:29.008.195,0x030,0,8,01 02 03 04 05 06 07 08 
0:30.009.074,0x030,0,8,01 02 03 04 05 06 07 08 
0:31.009.952,0x030,0,8,01 02 03 04 05 06 07 08 
0:32.010.839,0x030,0,8,01 02 03 04 05 06 07 08 
0:33.011.719,0x030,0,8,01 02 03 04 05 06 07 08 
0:34.012.597,0x030,0,8,01 02 03 04 05 06 07 08 
0:35.013.476,0x030,0,8,01 02 03 04 05 06 07 08 
0:36.014.355,0x030,0,8,01 02 03 04 05 06 07 08 
0:37.015.234,0x030,0,8,01 02 03 04 05 06 07 08 
0:38.016.112,0x030,0,8,01 02 03 04 05 06 07 08 
0:39.016.991,0x030,0,8,01 02 03 04 05 06 07 08 
0:40.017.869,0x030,0,8,01 02 03 04 05 06 07 08 
0:41.018.749,0x030,0,8,01 02 03 04 05 06 07 08 
0:42.019.628,0x030,0,8,01 02 03 04 05 06 07 08 
0:43.020.507,0x030,0,8,01 02 03 04 05 06 07 08 
0:44.021.394,0x030,0,8,01 02 03 04 05 06 07 08 
0:45.022.272,0x030,0,8,01 02 03 04 05 06 07 08 
0:46.023.151,0x030,0,8,01 02 03 04 05 06 07 08 
0:47.024.029,0x030,0,8,01 02 03 04 05 06 07 08 
0:48.024.909,0x030,0,8,01 02 03 04 05 06 07 08 
0:49.025.787,0x030,0,8,01 02 03 04 05 06 07 08 
0:50.026.666,0x030,0,8,01 02 03 04 05 06 07 08 
0:51.027.546,0x030,0,8,01 02 03 04 05 06 07 08 
0:52.028.424,0x030,0,8,01 02 03 04 05 06 07 08 
0:53.029.303,0x030,0,8,01 02 03 04 05 06 07 08 
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Capture stopped on 08/13/24 14:50:48
0:00.000.000,,,,Capture started on 08/13/24 14:55:32
1:20.063.070,,,,Bus Event: Bitrate Changed (125 kHz)
1:20.843.604,0x030,0,8,01 02 03 04 05 06 07 08 
1:21.844.484,0x030,0,8,01 02 03 04 05 06 07 08 
1:22.845.363,0x030,0,8,01 02 03 04 05 06 07 08 
1:23.846.242,0x030,0,8,01 02 03 04 05 06 07 08 
1:24.847.121,0x030,0,8,01 02 03 04 05 06 07 08 
1:25.848.000,0x030,0,8,01 02 03 04 05 06 07 08 
1:26.848.887,0x030,0,8,01 02 03 04 05 06 07 08 
1:27.849.767,0x030,0,8,01 02 03 04 05 06 07 08 
1:28.850.646,0x030,0,8,01 02 03 04 05 06 07 08 
1:29.851.524,0x030,0,8,01 02 03 04 05 06 07 08 
1:30.852.404,0x030,0,8,01 02 03 04 05 06 07 08 
1:31.853.283,0x030,0,8,01 02 03 04 05 06 07 08 
1:32.854.162,0x030,0,8,01 02 03 04 05 06 07 08 
1:33.579.658,0x031,0,8,00 00 00 00 00 00 00 00 
1:33.855.041,0x030,0,8,01 02 03 04 05 06 07 08 
1:33.856.008,0x032,0,8,00 00 00 00 00 00 00 00 
1:34.855.919,0x030,0,8,01 02 03 04 05 06 07 08 
1:35.856.799,0x030,0,8,01 02 03 04 05 06 07 08 
1:36.857.685,0x030,0,8,01 02 03 04 05 06 07 08 
1:37.858.564,0x030,0,8,01 02 03 04 05 06 07 08 
1:38.859.443,0x030,0,8,01 02 03 04 05 06 07 08 
1:39.860.322,0x030,0,8,01 02 03 04 05 06 07 08 
1:40.861.202,0x030,0,8,01 02 03 04 05 06 07 08 
1:41.862.082,0x030,0,8,01 02 03 04 05 06 07 08 
1:42.862.962,0x030,0,8,01 02 03 04 05 06 07 08 
1:43.863.841,0x030,0,8,01 02 03 04 05 06 07 08 
1:44.864.720,0x030,0,8,01 02 03 04 05 06 07 08 
1:45.865.599,0x030,0,8,01 02 03 04 05 06 07 08 
1:46.866.478,0x030,0,8,01 02 03 04 05 06 07 08 
1:47.867.358,0x030,0,8,01 02 03 04 05 06 07 08 
1:48.868.238,0x030,0,8,01 02 03 04 05 06 07 08 
1:49.869.117,0x030,0,8,01 02 03 04 05 06 07 08 
1:50.870.004,0x030,0,8,01 02 03 04 05 06 07 08 
1:51.870.883,0x030,0,8,01 02 03 04 05 06 07 08 
1:52.871.762,0x030,0,8,01 02 03 04 05 06 07 08 
1:53.872.642,0x030,0,8,01 02 03 04 05 06 07 08 
1:54.873.521,0x030,0,8,01 02 03 04 05 06 07 08 
1:55.874.400,0x030,0,8,01 02 03 04 05 06 07 08 
1:56.875.279,0x030,0,8,01 02 03 04 05 06 07 08 
1:57.876.158,0x030,0,8,01 02 03 04 05 06 07 08 
1:58.877.038,0x030,0,8,01 02 03 04 05 06 07 08 
1:59.877.918,0x030,0,8,01 02 03 04 05 06 07 08 
2:00.878.796,0x030,0,8,01 02 03 04 05 06 07 08 
2:01.879.675,0x030,0,8,01 02 03 04 05 06 07 08 
2:02.880.554,0x030,0,8,01 02 03 04 05 06 07 08 
2:03.881.434,0x030,0,8,01 02 03 04 05 06 07 08 
2:04.882.314,0x030,0,8,01 02 03 04 05 06 07 08 
2:05.883.201,0x030,0,8,01 02 03 04 05 06 07 08 
2:06.884.079,0x030,0,8,01 02 03 04 05 06 07 08 
2:07.884.958,0x030,0,8,01 02 03 04 05 06 07 08 
2:08.885.838,0x030,0,8,01 02 03 04 05 06 07 08 
2:09.886.717,0x030,0,8,01 02 03 04 05 06 07 08 
2:10.887.596,0x030,0,8,01 02 03 04 05 06 07 08 
2:11.888.476,0x030,0,8,01 02 03 04 05 06 07 08 
2:12.889.355,0x030,0,8,01 02 03 04 05 06 07 08 
2:13.890.234,0x030,0,8,01 02 03 04 05 06 07 08 
2:14.891.113,0x030,0,8,01 02 03 04 05 06 07 08 
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Capture stopped on 08/13/24 14:56:27
0:00.000.000,,,,Capture started on 08/13/24 15:04:49
2:02.242.631,,,,Bus Event: Bitrate Changed (125 kHz)
2:02.867.453,0x030,0,8,01 14 03 04 05 06 07 08 
2:03.868.333,0x030,0,8,01 15 03 04 05 06 07 08 
2:04.869.213,0x030,0,8,01 16 03 04 05 06 07 08 
2:05.870.092,0x030,0,8,01 17 03 04 05 06 07 08 
2:06.870.971,0x030,0,8,01 18 03 04 05 06 07 08 
2:07.695.587,0x031,0,8,00 00 00 00 00 00 00 00 
2:07.871.853,0x030,0,8,01 19 03 04 05 06 07 08 
2:07.872.820,0x032,0,8,02 19 00 00 00 00 00 00 
2:08.872.732,0x030,0,8,02 1A 03 04 05 06 07 08 
2:09.873.611,0x030,0,8,02 1B 03 04 05 06 07 08 
2:10.874.490,0x030,0,8,02 1C 03 04 05 06 07 08 
2:11.875.369,0x030,0,8,02 1D 03 04 05 06 07 08 
2:12.876.249,0x030,0,8,02 1E 03 04 05 06 07 08 
2:13.877.129,0x030,0,8,02 1F 03 04 05 06 07 08 
2:14.878.008,0x030,0,8,02 20 03 04 05 06 07 08 
2:15.878.887,0x030,0,8,02 21 03 04 05 06 07 08 
2:16.879.767,0x030,0,8,02 22 03 04 05 06 07 08 
2:17.880.646,0x030,0,8,02 23 03 04 05 06 07 08 
2:18.881.524,0x030,0,8,02 24 03 04 05 06 07 08 
2:19.882.404,0x030,0,8,02 25 03 04 05 06 07 08 
2:20.883.291,0x030,0,8,02 26 03 04 05 06 07 08 
2:21.884.170,0x030,0,8,02 27 03 04 05 06 07 08 
2:22.885.048,0x030,0,8,02 28 03 04 05 06 07 08 
2:23.885.928,0x030,0,8,02 29 03 04 05 06 07 08 
2:24.886.807,0x030,0,8,02 2A 03 04 05 06 07 08 
2:25.887.686,0x030,0,8,02 2B 03 04 05 06 07 08 
2:26.888.565,0x030,0,8,02 2C 03 04 05 06 07 08 
2:27.889.445,0x030,0,8,02 2D 03 04 05 06 07 08 
2:28.837.588,0x031,0,8,AA BB CC DD FF 11 22 33 
2:28.890.326,0x030,0,8,02 2E 03 04 05 06 07 08 
2:28.891.276,0x032,0,8,03 2E CC DD FF 11 22 33 
2:29.891.204,0x030,0,8,03 2F 03 04 05 06 07 08 
2:30.892.084,0x030,0,8,03 30 03 04 05 06 07 08 
2:31.892.963,0x030,0,8,03 31 03 04 05 06 07 08 
2:32.893.842,0x030,0,8,03 32 03 04 05 06 07 08 
2:33.894.721,0x030,0,8,03 33 03 04 05 06 07 08 
2:34.439.584,0x031,0,8,AA BB CC DD FF 11 22 33 
2:34.895.602,0x030,0,8,03 34 03 04 05 06 07 08 
2:34.896.560,0x032,0,8,04 34 CC DD FF 11 22 33 
2:35.896.480,0x030,0,8,04 35 03 04 05 06 07 08 
2:36.897.359,0x030,0,8,04 36 03 04 05 06 07 08 
2:37.898.239,0x030,0,8,04 37 03 04 05 06 07 08 
2:38.899.125,0x030,0,8,04 38 03 04 05 06 07 08 
2:39.900.004,0x030,0,8,04 39 03 04 05 06 07 08 
2:40.900.883,0x030,0,8,04 3A 03 04 05 06 07 08 
2:41.901.761,0x030,0,8,04 3B 03 04 05 06 07 08 
